,Country Name,Year,GDP,Inflation,Exchange Rate,Money Supply,Unemployment,FDI
0,Brunei Darussalam,2008,14393434225.0,12.69272996,1.417166667,53.63294116,6.293,-222184549.5
1,Cambodia,2008,10351914177.0,12.2537866,4054.166667,28.36005624,0.82,-794691393.1
2,Timor-Leste,2008,648523600.0,7.25676388,1.0,29.70719203,3.362,-39697970.75
3,Indonesia,2008,510000000000.0,18.14975125,9698.9625,38.30992109,7.21,-3418723399.0
4,Lao PDR,2008,5446434032.0,8.863450638,8740.181403,24.29257659,0.943,-227770000.0
5,Malaysia,2008,231000000000.0,10.3889004,3.335833333,119.5902405,3.32,7827500376.0
6,Myanmar,2008,31862554102.0,13.61865795,5.44145,17.22931406,0.698,-863880447.3
7,Philippines,2008,182000000000.0,7.179216183,44.32328761,56.99872386,3.72,630006878.0
8,Singapore,2008,194000000000.0,-1.381555432,1.414860833,121.7085685,3.96,-5633910991.0
9,Thailand,2008,291000000000.0,5.133780352,33.31330064,102.4456963,1.18,-6221859991.0
10,Viet Nam,2008,99130304099.0,22.67331617,16302.25,93.65716993,1.893,-9279000000.0
11,China,2008,4590000000000.0,7.795346038,6.948655,148.8409141,4.59,-115000000000.0
12,Japan,2008,5110000000000.0,-0.911530288,103.359494,198.3869428,4.0,89018788218.0
13,"Korea, Rep.",2008,1050000000000.0,2.826302301,1100.125833,123.5372649,2.96,8349000000.0
14,India,2008,1200000000000.0,9.193969626,43.50518333,77.37295611,8.463,-24149749830.0
15,Uzbekistan,2008,29549438884.0,26.79158498,2450.739405212136,98.6512779569836,4.89,-545389489.5
16,Qatar,2008,115000000000.0,22.89956469,3.64,43.85426983,0.31,-1467228390.228881
17,United States,2008,14800000000000.0,1.917932978,1.0,84.2544044,5.78,2491000000.0
18,United Kingdom,2008,2930000000000.0,3.403280075,0.54396625,158.7539533,5.62,103000000000.0
19,France,2008,2930000000000.0,2.36707384,2450.739405212136,98.6512779569836,7.39,68001785591.0
