Country Name,Country Code,Series Name,Series Code,2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Brunei Darussalam,BRN,GDP (current US$),NY.GDP.MKTP.CD,14393434225,10732595016,13707280260,18525128526,19048443341,18094321617,17097802753,12930291488,11400466356,12128183904,13566937674,13469235365,12005799654,14006496617,16681536467
Brunei Darussalam,BRN,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,1.417166667,1.454569273,1.363509474,1.25791302,1.249567016,1.25116567,1.267040123,1.374910845,1.381346877,1.380891164,1.348918565,1.364218514,1.37970343,1.343806963,1.378956397
Brunei Darussalam,BRN,Broad money (% of GDP),FM.LBL.BMNY.GD.ZS,53.63294116,76.84380168,67.27118685,59.37941399,58.65646775,62.57478931,67.49857434,80.80411669,92.59695025,86.68518694,81.58004432,84.71877054,93.57501836,84.57934313,70.07220045
Brunei Darussalam,BRN,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,12.69272996,-22.09141648,16.68828285,20.18050542,1.218702687,-2.82132117,-1.846457284,-17.61280313,-9.167861616,4.953690289,9.215863133,-3.334183376,-10.86375964,15.4659287,24.23672684
Brunei Darussalam,BRN,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,6.293,6.393,6.483,6.569,6.66,6.759,6.86,7.683,8.505,9.32,8.7,6.6,7.41,4.91,4.452
Brunei Darussalam,BRN,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-222184549.5,-325586827.8,-479520595.8,-703751750.6,-859107110.4,-778412341.1,-573906641.3,-171289167.8,150550827.3,-467927550.3,-516202620.6,-373256767.2,-565542275.4,-204749379.8,292416275.5
Cambodia,KHM,GDP (current US$),NY.GDP.MKTP.CD,10351914177,10401851768,11242275288,12829541141,14054443213,15227991395,16702610842,18049954289,20016747858,22177200588,24571753583,27089390033,25872797892,26961061152,29504829319
Cambodia,KHM,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,4054.166667,4139.333333,4184.916667,4058.5,4033,4027.25,4037.5,4067.75,4058.694579,4050.579986,4051.1669,4061.148963,4092.783219,4098.722795,4102.037865
Cambodia,KHM,Broad money (% of GDP),FM.LBL.BMNY.GD.ZS,28.36005624,37.47941505,41.60574508,39.07436915,50.04048956,56.34303705,67.37665023,72.40213415,79.17482843,88.1764707,100.6993825,107.6557313,128.9449782,143.8284906,142.0823188
Cambodia,KHM,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,12.2537866,2.504384662,3.120592871,3.36406625,1.440518127,0.781387551,2.632195879,1.786112458,3.475254587,3.341042158,3.111821367,3.235371767,-0.671856541,1.291945,4.070391065
Cambodia,KHM,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,0.82,0.58,0.77,0.58,0.499,0.44,0.69,0.39,0.72,0.14,0.128,0.116,0.17,0.4,0.226
Cambodia,KHM,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-794691393.1,-909520389.4,-1383735373,-1509718402,-1951922775,-2006202368,-1771407708,-1735043113,-2396841375,-2673226255,-3088669837,-3561195452,-3497632099,-3391043981,-3428345015
Timor-Leste,TLS,GDP (current US$),NY.GDP.MKTP.CD,648523600,726937800,881909300,1042534600,1160555000,1395727400,1447535200,1595205100,1652603700,1598208400,1566157200,2027034000,2162619200,3621958000,3204753000
Timor-Leste,TLS,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Timor-Leste,TLS,Broad money (% of GDP),FM.LBL.BMNY.GD.ZS,29.70719203,36.91588194,33.45300726,30.9272603,35.06486228,35.83467143,41.43747583,40.26174014,44.4073797,51.48865442,54.18272077,38.88754159,40.31811463,30.88317001,37.90713169
Timor-Leste,TLS,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,7.25676388,1.765125876,10.96379895,11.56567327,6.160467078,16.64276818,-0.728051105,7.202726588,0.222525734,-0.151690878,-1.321802318,4.874096517,-19.15179184,59.02701503,11.35539551
Timor-Leste,TLS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,3.362,3.296,3.3,3.532,3.767,4.01,4.228,4.451,4.66,4.191,3.69,3.079,2.791,2.34,1.786
Timor-Leste,TLS,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,-39697970.75,-47954750.66,-4332806.77,-82058168.54,-27715777.18,-43190438.95,-21238824.86,-30328700,7188000,-6715937.467,-47925664.57,238994863.1,712696166.4,419035233.2,395383447.1
Indonesia,IDN,GDP (current US$),NY.GDP.MKTP.CD,5.10E+11,5.40E+11,7.55E+11,8.93E+11,9.18E+11,9.13E+11,8.91E+11,8.61E+11,9.32E+11,1.02E+12,1.04E+12,1.12E+12,1.06E+12,1.19E+12,1.32E+12
Indonesia,IDN,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,9698.9625,10389.9375,9090.433333,8770.433333,9386.629167,10461.24,11865.2113,13389.41294,13308.3268,13380.83388,14236.93877,14147.67136,14582.20347,14308.1439,14849.85394
