Country ,Year,GDP,Inflation,Exchange Rate,Money Supply,Unemployment,FDI
Brunei Darussalam,2008,14393434225,12.69272996,1.417166667,53.63294116,6.293,-222184549.5
Cambodia,2008,10351914177,12.2537866,4054.166667,28.36005624,0.82,-794691393.1
Timor-Leste,2008,648523600,7.25676388,1,29.70719203,3.362,-39697970.75
Indonesia,2008,5.10E+11,18.14975125,9698.9625,38.30992109,7.21,-3418723399
Lao PDR,2008,5446434032,8.863450638,8740.181403,24.29257659,0.943,-227770000
Malaysia,2008,2.31E+11,10.3889004,3.335833333,119.5902405,3.32,7827500376
Myanmar,2008,31862554102,13.61865795,5.44145,17.22931406,0.698,-863880447.3
Philippines,2008,1.82E+11,7.179216183,44.32328761,56.99872386,3.72,630006878
Singapore,2008,1.94E+11,-1.381555432,1.414860833,121.7085685,3.96,-5633910991
Thailand,2008,2.91E+11,5.133780352,33.31330064,102.4456963,1.18,-6221859991
Viet Nam,2008,99130304099,22.67331617,16302.25,93.65716993,1.893,-9279000000
China,2008,4.59E+12,7.795346038,6.948655,148.8409141,4.59,-1.15E+11
Japan,2008,5.11E+12,-0.911530288,103.359494,198.3869428,4,89018788218
"Korea, Rep.",2008,1.05E+12,2.826302301,1100.125833,123.5372649,2.96,8349000000
India,2008,1.20E+12,9.193969626,43.50518333,77.37295611,8.463,-24149749830
Uzbekistan,2008,29549438884,26.79158498,2450.739405,98.65127796,4.89,-545389489.5
Qatar,2008,1.15E+11,22.89956469,3.64,43.85426983,0.31,-1467228390
United States,2008,1.48E+13,1.917932978,1,84.2544044,5.78,2491000000
United Kingdom,2008,2.93E+12,3.403280075,0.54396625,158.7539533,5.62,1.03E+11
France,2008,2.93E+12,2.36707384,2450.739405,98.65127796,7.39,68001785591
Russian Federation,2008,1.66E+12,18.01351834,24.852875,39.50786051,6.21,-19120290000
Germany,2008,3.75E+12,0.909330422,2450.739405,98.65127796,7.52,67071495031
Australia,2008,1.06E+12,4.569822249,1.192178333,97.72560394,4.24,-13282411774
Hungary,2008,1.58E+11,4.806138668,172.1133333,56.68727165,7.82,-1457150599
Ireland,2008,2.75E+11,-0.504525642,2450.739405,98.65127796,6.77,34912564501
Brunei Darussalam,2009,10732595016,-22.09141648,1.454569273,76.84380168,6.393,-325586827.8
Cambodia,2009,10401851768,2.504384662,4139.333333,37.47941505,0.58,-909520389.4
Timor-Leste,2009,726937800,1.765125876,1,36.91588194,3.296,-47954750.66
Indonesia,2009,5.40E+11,8.274752432,10389.9375,38.19668391,6.11,-2628247483
Lao PDR,2009,5836138127,-2.932073532,8511.351163,30.82417473,0.834,-318598209.1
Malaysia,2009,2.02E+11,-5.992201556,3.524502911,139.1656209,3.66,6626128852
Myanmar,2009,36906181381,4.878599246,5.576366667,19.41287369,0.709,-1078972201
Philippines,2009,1.76E+11,2.738258566,47.67968845,59.4116189,3.86,-167490840.2
Singapore,2009,1.94E+11,2.953924644,1.454514713,131.4503292,5.86,8603556832
Thailand,2009,2.82E+11,0.194772131,34.28577412,109.9220731,1.49,-415179561.5
Viet Nam,2009,1.06E+11,6.215623151,17065.08333,105.6069381,1.74,-6900000000
China,2009,5.10E+12,-0.209533359,6.831416052,175.0913789,4.72,-87167067370
Japan,2009,5.29E+12,-0.569564925,93.57008909,216.0249033,5.07,61450645281
"Korea, Rep.",2009,9.44E+11,3.608644126,1277.245833,129.9915368,3.36,8378600000
India,2009,1.34E+12,7.040365434,48.40526667,79.07519635,8.383,-19485789183
Uzbekistan,2009,33689223673,17.26156513,2450.739405,98.65127796,5.04,-608776388.3
Qatar,2009,97798351648,-24.21810088,3.64,60.41859287,0.31,-1467228390
United States,2009,1.45E+13,0.640954733,1,90.69069702,9.25,1.52E+11
United Kingdom,2009,2.41E+12,1.891111935,0.641919263,163.2394035,7.54,-62945021961
